iter	Passed	Remaining
0	3	3248
1	3	1985
2	4	1604
3	7	1884
4	9	1913
5	10	1731
6	11	1590
7	14	1855
8	16	1766
9	16	1666
10	17	1597
11	18	1534
12	20	1537
13	21	1522
14	22	1476
15	23	1420
16	23	1366
17	24	1320
18	24	1278
19	25	1246
20	26	1216
21	30	1372
22	32	1379
23	33	1346
24	34	1335
25	38	1424
26	39	1411
27	39	1385
28	40	1355
29	41	1327
30	41	1301
31	43	1316
32	44	1307
33	45	1289
34	45	1267
35	48	1303
36	49	1292
37	50	1281
38	51	1263
39	51	1244
40	52	1228
41	53	1210
42	53	1200
43	54	1186
44	55	1174
45	56	1162
46	56	1154
47	57	1146
48	59	1160
49	60	1146
50	60	1132
51	61	1118
52	61	1105
53	62	1093
54	63	1082
55	63	1071
56	64	1065
57	65	1056
58	65	1047
59	66	1039
60	66	1030
61	67	1021
62	68	1011
63	68	1003
64	69	994
65	69	986
66	70	977
67	70	969
68	71	960
69	72	957
70	72	951
71	73	949
72	74	944
73	75	938
74	75	932
75	76	926
76	76	919
77	77	913
78	77	907
79	78	901
80	79	896
81	79	891
82	80	885
83	80	882
84	81	878
85	82	875
86	82	870
87	83	864
88	84	860
89	84	855
90	85	850
91	85	845
92	86	841
93	87	840
94	87	838
95	88	835
96	89	831
97	89	827
98	90	823
99	91	820
100	91	816
101	92	812
102	92	809
103	93	805
104	94	802
105	94	800
106	95	797
107	96	793
108	96	790
109	97	787
110	97	784
111	98	781
112	99	777
113	99	773
114	100	770
115	100	766
116	101	762
117	102	763
118	102	761
119	103	758
120	104	756
121	104	752
122	105	749
123	105	746
124	106	743
125	107	742
126	107	739
127	108	736
128	110	742
129	110	740
130	111	737
131	111	735
132	112	734
133	113	731
134	113	729
135	114	726
136	114	723
137	115	721
138	116	719
139	116	717
140	117	715
141	117	712
142	118	710
143	119	708
144	119	706
145	120	704
146	120	702
147	121	699
148	121	696
149	122	694
150	123	691
151	123	689
152	124	687
153	124	685
154	125	683
155	126	685
156	127	684
157	128	682
158	128	680
159	129	678
160	129	675
161	130	673
162	130	670
163	131	669
164	131	667
165	132	666
166	133	664
167	133	662
168	134	660
169	135	659
170	135	656
171	136	654
172	136	652
173	137	650
174	137	648
175	138	646
176	139	646
177	139	645
178	140	644
179	140	642
180	141	640
181	142	638
182	142	636
183	143	635
184	144	634
185	144	632
186	145	631
187	145	629
188	146	628
189	147	628
190	148	626
191	148	625
192	149	624
193	149	622
194	150	621
195	150	619
196	151	617
197	152	615
198	152	613
199	153	612
200	153	610
201	154	609
202	154	608
203	155	606
204	156	605
205	156	603
206	157	602
207	158	602
208	158	600
209	159	599
210	159	598
211	160	596
212	161	595
213	161	594
214	162	593
215	163	592
216	163	590
217	164	589
218	164	587
219	165	586
220	165	584
221	166	583
222	166	581
223	167	580
224	168	578
225	168	577
226	169	576
227	169	575
228	170	575
229	171	574
230	172	573
231	172	572
232	173	570
233	173	569
234	174	568
235	175	566
236	175	565
237	176	564
238	177	564
239	177	563
240	178	563
241	179	561
242	179	560
243	180	559
244	181	557
245	181	556
246	182	555
247	182	553
248	183	552
249	183	551
250	184	551
251	185	550
252	186	549
253	186	548
254	187	547
255	187	546
256	188	545
257	189	543
258	189	542
259	190	541
260	192	543
261	192	542
262	193	541
263	193	540
264	194	539
265	195	538
266	195	537
267	196	535
268	196	534
269	197	533
270	197	531
271	198	531
272	199	531
273	200	530
274	200	529
275	201	528
276	202	527
277	202	526
278	203	525
279	203	523
280	204	522
281	204	521
282	205	520
283	206	519
284	206	518
285	207	517
286	208	516
287	208	515
288	209	514
289	209	513
290	210	512
291	210	511
292	211	510
293	211	508
294	212	507
295	213	507
296	214	506
297	214	505
298	215	504
299	215	503
300	216	502
301	216	501
302	217	500
303	217	499
304	218	497
305	219	496
306	219	495
307	220	494
308	221	495
309	222	494
310	222	493
311	223	492
312	223	491
313	224	489
314	224	488
315	225	487
316	225	486
317	226	485
318	226	484
319	227	483
320	228	482
321	228	481
322	229	480
323	230	479
324	230	478
325	231	477
326	231	476
327	232	475
328	232	474
329	233	473
330	233	472
331	234	471
332	234	470
333	235	469
334	236	468
335	236	467
336	237	466
337	238	466
338	238	465
339	239	464
340	239	463
341	240	462
342	240	461
343	241	460
344	241	459
345	242	458
346	243	457
347	243	457
348	244	456
349	246	456
350	246	456
351	247	455
352	247	454
353	248	453
354	248	452
355	249	451
356	249	449
357	250	449
358	251	448
359	252	448
360	252	447
361	253	446
362	253	445
363	254	444
364	254	443
365	255	442
366	255	441
367	256	440
368	256	439
369	257	438
370	258	438
371	259	437
372	259	436
373	260	435
374	260	434
375	261	433
376	261	432
377	262	431
378	262	430
379	263	429
380	263	428
381	264	427
382	264	426
383	265	426
384	266	425
385	266	424
386	267	423
387	268	422
388	268	421
389	269	421
390	270	420
391	270	419
392	271	418
393	271	418
394	272	417
395	272	416
396	273	415
397	274	414
398	274	414
399	275	413
400	276	412
401	276	411
402	277	410
403	277	410
404	278	409
405	279	408
406	279	407
407	280	406
408	280	406
409	281	405
410	282	404
411	282	403
412	283	402
413	284	402
414	284	401
415	285	400
416	286	399
417	286	398
418	287	398
419	289	399
420	290	399
421	291	399
422	292	399
423	293	399
424	294	398
425	294	397
426	297	399
427	298	398
428	299	398
429	301	400
430	302	399
431	303	399
432	304	398
433	305	398
434	305	397
435	306	396
436	307	395
437	307	394
438	308	393
439	308	393
440	309	392
441	311	393
442	312	393
443	313	392
444	314	392
445	315	391
446	315	390
447	316	389
448	316	388
449	317	388
450	318	387
451	319	386
452	319	386
453	320	385
454	320	384
455	321	383
456	322	382
457	322	381
458	323	381
459	323	380
460	324	379
461	326	380
462	327	380
463	328	379
464	329	379
465	330	378
466	331	377
467	331	377
468	332	376
469	333	376
470	334	375
471	335	374
472	335	374
473	336	373
474	337	372
475	337	371
476	338	370
477	338	369
478	341	371
479	342	370
480	342	369
481	343	369
482	344	368
483	344	367
484	345	366
485	345	365
486	346	364
487	347	364
488	347	363
489	348	362
490	349	361
491	349	361
492	350	360
493	351	359
494	352	359
495	352	358
496	353	357
497	353	356
498	354	356
499	355	355
500	356	354
501	356	353
502	357	353
503	358	352
504	358	351
505	359	350
506	359	349
507	360	348
508	360	348
509	361	347
510	362	347
511	363	346
512	364	345
513	364	344
514	365	343
515	365	343
516	366	342
517	366	341
518	367	340
519	368	340
520	382	352
521	383	351
522	384	350
523	384	349
524	386	349
525	386	348
526	387	348
527	388	347
528	389	346
529	389	345
530	390	344
531	390	343
532	391	342
533	391	341
534	392	341
535	393	340
536	393	339
537	394	338
538	395	337
539	395	337
540	396	336
541	397	335
542	397	334
543	398	333
544	398	333
545	399	332
546	400	331
547	400	330
548	401	330
549	402	329
550	403	328
551	403	327
552	404	327
553	405	326
554	406	325
555	406	324
556	407	324
557	408	323
558	409	322
559	409	321
560	410	321
561	411	320
562	411	319
563	412	318
564	413	317
565	413	317
566	414	316
567	414	315
568	415	314
569	416	314
570	417	313
571	417	312
572	418	311
573	418	310
574	419	310
575	419	309
576	420	308
577	421	307
578	421	306
579	422	305
580	422	304
581	423	304
582	424	303
583	425	302
584	426	302
585	427	301
586	427	301
587	428	300
588	429	299
589	431	299
590	431	298
591	432	297
592	432	297
593	433	296
594	434	295
595	434	294
596	435	293
597	436	293
598	436	292
599	438	292
600	439	291
601	440	291
602	441	290
603	442	289
604	442	289
605	443	288
606	444	288
607	445	287
608	446	286
609	447	286
610	448	285
611	448	284
612	449	283
613	450	282
614	450	282
615	451	281
616	452	280
617	453	280
618	453	279
619	454	278
620	455	277
621	455	276
622	456	276
623	456	275
624	457	274
625	458	273
626	458	272
627	459	272
628	460	271
629	460	270
630	461	269
631	462	269
632	462	268
633	463	267
634	463	266
635	464	265
636	464	264
637	465	264
638	466	263
639	467	262
640	468	262
641	468	261
642	469	260
643	470	259
644	470	259
645	471	258
646	472	257
647	472	256
648	473	255
649	473	255
650	474	254
651	475	253
652	476	253
653	476	252
654	477	251
655	477	250
656	478	249
657	479	248
658	479	248
659	480	247
660	480	246
661	481	245
662	481	244
663	482	244
664	483	243
665	483	242
666	484	241
667	484	240
668	485	240
669	485	239
670	486	238
671	486	237
672	487	236
673	487	236
674	488	235
675	490	235
676	491	234
677	491	233
678	492	232
679	492	231
680	493	231
681	494	230
682	494	229
683	495	228
684	495	228
685	496	227
686	497	226
687	497	225
688	498	224
689	498	224
690	499	223
691	499	222
692	500	221
693	500	220
694	501	220
695	501	219
696	502	218
697	502	217
698	503	216
699	503	215
700	504	215
701	505	214
702	505	213
703	506	212
704	506	212
705	507	211
706	508	210
707	508	209
708	509	208
709	509	208
710	510	207
711	510	206
712	511	205
713	511	205
714	512	204
715	513	203
716	513	202
717	514	202
718	515	201
719	515	200
720	516	199
721	516	199
722	517	198
723	518	197
724	518	196
725	519	195
726	519	195
727	520	194
728	520	193
729	521	192
730	522	192
731	522	191
732	523	190
733	524	189
734	524	189
735	525	188
736	525	187
737	526	186
738	526	186
739	527	185
740	528	184
741	529	183
742	529	183
743	530	182
744	530	181
745	531	180
746	531	180
747	532	179
748	532	178
749	533	177
750	533	176
751	534	176
752	535	175
753	536	174
754	536	174
755	537	173
756	537	172
757	538	171
758	538	171
759	539	170
760	540	169
761	540	168
762	541	168
763	541	167
764	542	166
765	542	165
766	543	165
767	544	164
768	544	163
769	545	162
770	545	162
771	546	161
772	546	160
773	547	159
774	547	159
775	548	158
776	549	157
777	550	157
778	551	156
779	551	155
780	552	154
781	553	154
782	553	153
783	554	152
784	554	151
785	555	151
786	555	150
787	556	149
788	557	149
789	557	148
790	558	147
791	559	146
792	559	146
793	560	145
794	560	144
795	561	143
796	561	143
797	562	142
798	562	141
799	563	140
800	564	140
801	565	139
802	565	138
803	566	138
804	566	137
805	567	136
806	567	135
807	568	135
808	568	134
809	569	133
810	569	132
811	570	132
812	570	131
813	571	130
814	572	129
815	572	129
816	573	128
817	574	127
818	574	127
819	575	126
820	575	125
821	576	124
822	576	124
823	577	123
824	578	122
825	578	121
826	579	121
827	579	120
828	580	119
829	580	118
830	581	118
831	582	117
832	582	116
833	583	116
834	583	115
835	584	114
836	584	113
837	585	113
838	585	112
839	586	111
840	586	110
841	587	110
842	588	109
843	588	108
844	589	108
845	589	107
846	590	106
847	590	105
848	591	105
849	591	104
850	592	103
851	592	102
852	593	102
853	593	101
854	594	100
855	595	100
856	595	99
857	596	98
858	596	97
859	597	97
860	597	96
861	598	95
862	598	95
863	599	94
864	599	93
865	600	92
866	600	92
867	601	91
868	602	90
869	602	90
870	603	89
871	604	88
872	605	88
873	605	87
874	606	86
875	606	85
876	607	85
877	607	84
878	608	83
879	609	83
880	610	82
881	611	81
882	611	81
883	612	80
884	612	79
885	613	78
886	613	78
887	614	77
888	615	76
889	615	76
890	617	75
891	618	74
892	618	74
893	619	73
894	620	72
895	620	72
896	621	71
897	621	70
898	622	69
899	622	69
900	623	68
901	624	67
902	624	67
903	625	66
904	626	65
905	626	65
906	627	64
907	628	63
908	628	62
909	629	62
910	630	61
911	631	60
912	631	60
913	632	59
914	632	58
915	633	58
916	634	57
917	634	56
918	635	55
919	635	55
920	636	54
921	636	53
922	637	53
923	637	52
924	638	51
925	639	51
926	639	50
927	640	49
928	641	49
929	641	48
930	642	47
931	642	46
932	643	46
933	643	45
934	644	44
935	644	44
936	645	43
937	646	42
938	646	42
939	647	41
940	648	40
941	649	39
942	649	39
943	650	38
944	650	37
945	651	37
946	651	36
947	652	35
948	653	35
949	654	34
950	655	33
951	656	33
952	656	32
953	657	31
954	658	31
955	658	30
956	659	29
957	659	28
958	660	28
959	661	27
960	662	26
961	662	26
962	663	25
963	664	24
964	665	24
965	666	23
966	666	22
967	667	22
968	668	21
969	668	20
970	669	19
971	670	19
972	670	18
973	671	17
974	672	17
975	673	16
976	674	15
977	675	15
978	676	14
979	676	13
980	677	13
981	678	12
982	678	11
983	679	11
984	679	10
985	680	9
986	680	8
987	681	8
988	681	7
989	682	6
990	683	6
991	684	5
992	684	4
993	687	4
994	687	3
